Sample Size;CREATE;DELETE;ADD;REMOVE;FIND
100000;1.81765834E7;5889129.0;5462.4;6266.7;10804.3
200000;3.31624666E7;1.31941043E7;112.4;383.3;3787.5
300000;4.415235E7;1.55040125E7;112.4;408.4;2962.5
400000;6.78130084E7;3.05444083E7;154.2;245.8;3428.9
500000;6.82625752E7;3.1377396E7;262.6;1329.0;5424.8
600000;8.33329041E7;3.01871127E7;116.5;4208.3;3008.4
700000;9.27196414E7;3.15718708E7;262.4;604.2;2779.0
800000;1.476222834E8;6.54395416E7;170.8;420.9;3833.4
900000;1.610058626E8;6.44708293E7;158.2;654.1;3587.4
1000000;1.541753375E8;6.96426332E7;150.1;345.7;9287.4
