Sample Size;CREATE;DELETE;ADD;REMOVE;FIND
100000;2.10270376E7;9473133.2;583.3;6820.9;5333.4
200000;4.22983082E7;2.37178251E7;74.8;366.6;5037.4
300000;5.48898707E7;2.6066596E7;191.7;458.2;4858.2
400000;8.38113959E7;4.91381127E7;383.4;416.6;4179.1
500000;9.72981875E7;5.06151168E7;174.9;408.4;4458.5
600000;1.202363624E8;5.97982084E7;354.3;567.0;5050.1
700000;1.388343418E8;6.46097335E7;233.4;599.9;5145.9
800000;1.844874168E8;1.172990667E8;245.9;441.4;4237.6
900000;1.778782915E8;1.203936458E8;153.9;296.1;4879.3
1000000;2.080540876E8;1.301378836E8;345.9;487.5;6179.1
